ReviewID,CustomerID,ProductName,Category,Rating,ReviewText,ReviewDate,Channel,Country
REV0001,CUST3286,Running Shoes,Footwear,4,This product changed my daily routine for the better!,2024-04-24,Website,India
REV0002,CUST4582,Running Shoes,Footwear,3,Product is okay. Does what it's supposed to do.,2024-02-17,Mobile App,India
REV0003,CUST8359,Protein Powder,Nutrition,5,Fantastic quality and fast delivery. Very happy with my order.,2024-04-22,In-Store,USA
REV0004,CUST4527,Wireless Headphones,Electronics,3,Standard quality. Delivery took longer than expected.,2024-03-20,In-Store,USA
REV0005,CUST5333,Running Shoes,Footwear,5,Excellent value for money. Works perfectly as described.,2024-11-05,Website,Australia
REV0006,CUST5803,Protein Powder,Nutrition,4,Great product! Customer service was also very helpful.,2024-10-09,In-Store,India
REV0007,CUST2307,Wireless Headphones,Electronics,3,Product is okay. Does what it's supposed to do.,2024-05-28,Mobile App,USA
REV0008,CUST6820,Yoga Mat,Sports,4,Excellent value for money. Works perfectly as described.,2024-07-08,Mobile App,Canada
REV0009,CUST8573,Running Shoes,Footwear,3,Decent product for the price. Could be better.,2024-03-24,Social Media,Canada
REV0010,CUST1525,Protein Powder,Nutrition,4,Excellent value for money. Works perfectly as described.,2024-04-27,In-Store,Australia
REV0011,CUST9179,Smart Watch,Electronics,5,Totally worth every penny. Love everything about it!,2024-04-18,Social Media,Australia
REV0012,CUST8019,Wireless Headphones,Electronics,5,Fantastic quality and fast delivery. Very happy with my order.,2024-10-26,Social Media,Canada
REV0013,CUST1771,Wireless Headphones,Electronics,2,Worst product I've ever bought. Do not recommend.,2024-02-16,Website,UK
REV0014,CUST7252,Wireless Headphones,Electronics,3,"Works as described. Nothing more, nothing less.",2024-07-16,Social Media,India
REV0015,CUST9797,Smart Watch,Electronics,1,Very disappointed. Product quality is terrible.,2024-12-15,In-Store,Canada
REV0016,CUST5315,Running Shoes,Footwear,5,"Amazing product, will definitely buy again. Highly recommend!",2024-01-02,Mobile App,India
REV0017,CUST7126,Running Shoes,Footwear,1,Terrible experience. Product arrived damaged.,2024-03-19,Mobile App,India
REV0018,CUST1319,Protein Powder,Nutrition,2,Absolute garbage. Save your money and look elsewhere.,2024-09-07,Website,Canada
REV0019,CUST8962,Smart Watch,Electronics,4,Fantastic quality and fast delivery. Very happy with my order.,2024-02-13,Website,India
REV0020,CUST9645,Wireless Headphones,Electronics,4,Five stars all the way. Incredible quality and comfort.,2024-05-15,Social Media,UK
REV0021,CUST7118,Protein Powder,Nutrition,3,It's alright. Not the best I've used but not the worst either.,2024-07-23,Social Media,India
REV0022,CUST1344,Yoga Mat,Sports,4,Fantastic quality and fast delivery. Very happy with my order.,2024-06-22,Mobile App,India
REV0023,CUST1514,Wireless Headphones,Electronics,4,Absolutely love this product! Exceeded all my expectations.,2024-02-04,In-Store,USA
REV0024,CUST3167,Protein Powder,Nutrition,4,Five stars all the way. Incredible quality and comfort.,2024-10-03,Social Media,UK
REV0025,CUST8062,Yoga Mat,Sports,1,Extremely poor quality. Nothing like shown in photos.,2024-02-19,In-Store,Australia
REV0026,CUST7596,Yoga Mat,Sports,4,Absolutely love this product! Exceeded all my expectations.,2024-02-01,In-Store,USA
REV0027,CUST7912,Wireless Headphones,Electronics,5,Really impressed with the build quality and performance.,2024-03-12,Mobile App,Canada
REV0028,CUST2604,Yoga Mat,Sports,5,Best purchase I've made this year. Quality is outstanding.,2024-10-08,Website,India
REV0029,CUST8956,Running Shoes,Footwear,1,Extremely poor quality. Nothing like shown in photos.,2024-07-27,Social Media,UK
REV0030,CUST7396,Yoga Mat,Sports,2,Worst product I've ever bought. Do not recommend.,2024-01-02,In-Store,Australia
REV0031,CUST4111,Smart Watch,Electronics,5,Really impressed with the build quality and performance.,2024-03-20,In-Store,UK
REV0032,CUST1936,Running Shoes,Footwear,3,Fine for occasional use but not for heavy duty.,2024-06-09,Website,India
REV0033,CUST9320,Yoga Mat,Sports,4,Really impressed with the build quality and performance.,2024-01-30,Website,UK
REV0034,CUST5033,Running Shoes,Footwear,3,It's alright. Not the best I've used but not the worst either.,2024-03-02,Website,India
REV0035,CUST4346,Running Shoes,Footwear,5,Totally worth every penny. Love everything about it!,2024-05-13,In-Store,UK
REV0036,CUST2188,Smart Watch,Electronics,5,This product changed my daily routine for the better!,2024-06-10,Website,Australia
REV0037,CUST4492,Protein Powder,Nutrition,1,Waste of money. Broke after just two weeks of use.,2024-10-02,In-Store,UK
REV0038,CUST3584,Smart Watch,Electronics,2,Extremely poor quality. Nothing like shown in photos.,2024-05-25,Social Media,India
REV0039,CUST5905,Smart Watch,Electronics,3,Fine for occasional use but not for heavy duty.,2024-12-07,Website,UK
REV0040,CUST5616,Smart Watch,Electronics,4,Best purchase I've made this year. Quality is outstanding.,2024-05-19,Mobile App,Canada
REV0041,CUST1832,Wireless Headphones,Electronics,3,Meets basic expectations. Packaging could be improved.,2024-05-08,Website,Australia
REV0042,CUST5291,Smart Watch,Electronics,4,Excellent value for money. Works perfectly as described.,2024-11-22,Mobile App,Australia
REV0043,CUST2232,Protein Powder,Nutrition,3,Fine for occasional use but not for heavy duty.,2024-02-27,Mobile App,India
REV0044,CUST3088,Running Shoes,Footwear,1,Absolute garbage. Save your money and look elsewhere.,2024-08-08,Website,Canada
REV0045,CUST5088,Smart Watch,Electronics,2,Very disappointed. Product quality is terrible.,2024-04-17,Website,Canada
REV0046,CUST3662,Protein Powder,Nutrition,1,Not worth the price at all. Very cheap materials.,2024-05-01,Mobile App,Australia
REV0047,CUST5065,Running Shoes,Footwear,5,Excellent value for money. Works perfectly as described.,2024-12-08,In-Store,UK
REV0048,CUST4269,Running Shoes,Footwear,5,Absolutely love this product! Exceeded all my expectations.,2024-04-23,Social Media,Canada
REV0049,CUST4164,Smart Watch,Electronics,1,Extremely poor quality. Nothing like shown in photos.,2024-01-13,Social Media,Canada
REV0050,CUST9346,Smart Watch,Electronics,2,Terrible experience. Product arrived damaged.,2024-11-24,Social Media,India
REV0051,CUST5349,Smart Watch,Electronics,2,Waste of money. Broke after just two weeks of use.,2024-04-01,Website,USA
REV0052,CUST9379,Protein Powder,Nutrition,5,Excellent value for money. Works perfectly as described.,2024-11-06,Website,Australia
REV0053,CUST9518,Protein Powder,Nutrition,5,Absolutely love this product! Exceeded all my expectations.,2024-01-01,Mobile App,Canada
REV0054,CUST3041,Yoga Mat,Sports,5,Excellent value for money. Works perfectly as described.,2024-12-05,In-Store,India
REV0055,CUST5844,Smart Watch,Electronics,3,Standard quality. Delivery took longer than expected.,2024-12-22,Mobile App,UK
REV0056,CUST5930,Yoga Mat,Sports,3,"Works as described. Nothing more, nothing less.",2024-11-11,Social Media,India
REV0057,CUST6279,Running Shoes,Footwear,5,Fantastic quality and fast delivery. Very happy with my order.,2024-10-23,Social Media,Australia
REV0058,CUST2389,Yoga Mat,Sports,3,Fine for occasional use but not for heavy duty.,2024-03-27,In-Store,India
REV0059,CUST4262,Protein Powder,Nutrition,5,Fantastic quality and fast delivery. Very happy with my order.,2024-04-25,Mobile App,USA
REV0060,CUST7790,Running Shoes,Footwear,4,Five stars all the way. Incredible quality and comfort.,2024-08-21,Mobile App,Australia
REV0061,CUST7965,Yoga Mat,Sports,4,"Amazing product, will definitely buy again. Highly recommend!",2024-02-24,Mobile App,UK
REV0062,CUST8478,Protein Powder,Nutrition,4,Really impressed with the build quality and performance.,2024-03-03,Mobile App,Australia
REV0063,CUST9270,Protein Powder,Nutrition,2,Absolute garbage. Save your money and look elsewhere.,2024-08-14,Social Media,India
REV0064,CUST5050,Yoga Mat,Sports,2,Horrible product. Customer service was unhelpful too.,2024-05-12,In-Store,India
REV0065,CUST5681,Yoga Mat,Sports,3,Meets basic expectations. Packaging could be improved.,2024-02-09,Mobile App,Canada
REV0066,CUST3471,Smart Watch,Electronics,4,Really impressed with the build quality and performance.,2024-03-11,Mobile App,Australia
REV0067,CUST6421,Wireless Headphones,Electronics,3,Average quality. Nothing special but works fine.,2024-07-27,Social Media,Australia
REV0068,CUST1320,Running Shoes,Footwear,5,Great product! Customer service was also very helpful.,2024-10-26,Social Media,Australia
REV0069,CUST9818,Running Shoes,Footwear,2,Terrible experience. Product arrived damaged.,2024-08-02,Mobile App,Australia
REV0070,CUST6507,Wireless Headphones,Electronics,4,Five stars all the way. Incredible quality and comfort.,2024-07-18,Social Media,UK
REV0071,CUST1444,Yoga Mat,Sports,1,Absolute garbage. Save your money and look elsewhere.,2024-07-20,Website,Australia
REV0072,CUST7211,Wireless Headphones,Electronics,1,Worst product I've ever bought. Do not recommend.,2024-05-13,In-Store,UK
REV0073,CUST5133,Yoga Mat,Sports,5,Great product! Customer service was also very helpful.,2024-08-03,Website,Australia
REV0074,CUST2124,Running Shoes,Footwear,3,Product is okay. Does what it's supposed to do.,2024-04-24,Website,USA
REV0075,CUST3068,Wireless Headphones,Electronics,4,Absolutely love this product! Exceeded all my expectations.,2024-05-02,Social Media,USA
REV0076,CUST3749,Protein Powder,Nutrition,2,Horrible product. Customer service was unhelpful too.,2024-07-07,Website,UK
REV0077,CUST7149,Smart Watch,Electronics,5,Absolutely love this product! Exceeded all my expectations.,2024-10-21,Social Media,UK
REV0078,CUST5941,Running Shoes,Footwear,3,It's alright. Not the best I've used but not the worst either.,2024-12-22,Website,India
REV0079,CUST9289,Running Shoes,Footwear,5,Great product! Customer service was also very helpful.,2024-02-05,In-Store,USA
REV0080,CUST8532,Yoga Mat,Sports,2,Waste of money. Broke after just two weeks of use.,2024-07-04,Mobile App,Australia
REV0081,CUST8136,Wireless Headphones,Electronics,3,Meets basic expectations. Packaging could be improved.,2024-08-26,In-Store,Canada
REV0082,CUST4995,Wireless Headphones,Electronics,2,Waste of money. Broke after just two weeks of use.,2024-08-18,Social Media,India
REV0083,CUST6325,Protein Powder,Nutrition,3,Standard quality. Delivery took longer than expected.,2024-09-10,Mobile App,Australia
REV0084,CUST5526,Wireless Headphones,Electronics,5,This product changed my daily routine for the better!,2024-05-23,Website,India
REV0085,CUST4937,Wireless Headphones,Electronics,5,Great product! Customer service was also very helpful.,2024-10-11,Social Media,Australia
REV0086,CUST7625,Yoga Mat,Sports,3,Average quality. Nothing special but works fine.,2024-04-23,Mobile App,Canada
REV0087,CUST6419,Protein Powder,Nutrition,5,Really impressed with the build quality and performance.,2024-08-05,In-Store,Australia
REV0088,CUST6169,Smart Watch,Electronics,4,Fantastic quality and fast delivery. Very happy with my order.,2024-04-08,Website,India
REV0089,CUST9595,Wireless Headphones,Electronics,5,Five stars all the way. Incredible quality and comfort.,2024-10-28,In-Store,USA
REV0090,CUST1231,Wireless Headphones,Electronics,4,Excellent value for money. Works perfectly as described.,2024-06-03,Mobile App,Canada
REV0091,CUST3068,Running Shoes,Footwear,2,Fell apart within days. Very poorly made.,2024-12-23,Social Media,USA
REV0092,CUST6582,Running Shoes,Footwear,3,Okay product. Not sure if I'd buy again.,2024-08-13,Mobile App,USA
REV0093,CUST7565,Smart Watch,Electronics,1,Horrible product. Customer service was unhelpful too.,2024-02-03,Social Media,USA
REV0094,CUST5978,Protein Powder,Nutrition,3,Product is okay. Does what it's supposed to do.,2024-03-17,Website,UK
REV0095,CUST7232,Running Shoes,Footwear,3,"Works as described. Nothing more, nothing less.",2024-09-24,Social Media,Australia
REV0096,CUST1986,Smart Watch,Electronics,2,Not worth the price at all. Very cheap materials.,2024-10-18,Website,UK
REV0097,CUST3847,Wireless Headphones,Electronics,4,Best purchase I've made this year. Quality is outstanding.,2024-05-02,Website,UK
REV0098,CUST1534,Running Shoes,Footwear,5,Totally worth every penny. Love everything about it!,2024-05-29,Mobile App,Canada
REV0099,CUST4824,Smart Watch,Electronics,3,Okay product. Not sure if I'd buy again.,2024-12-17,In-Store,India
REV0100,CUST3441,Wireless Headphones,Electronics,4,Really impressed with the build quality and performance.,2024-11-27,In-Store,UK
REV0101,CUST3037,Running Shoes,Footwear,5,This product changed my daily routine for the better!,2024-08-12,Social Media,Canada
REV0102,CUST2317,Yoga Mat,Sports,2,Fell apart within days. Very poorly made.,2024-08-12,Website,Australia
REV0103,CUST1339,Smart Watch,Electronics,3,Product is okay. Does what it's supposed to do.,2024-04-27,In-Store,India
REV0104,CUST8245,Running Shoes,Footwear,3,Decent product for the price. Could be better.,2024-09-22,In-Store,UK
REV0105,CUST6700,Protein Powder,Nutrition,4,Five stars all the way. Incredible quality and comfort.,2024-08-28,Social Media,Canada
REV0106,CUST9117,Smart Watch,Electronics,3,Decent product for the price. Could be better.,2024-07-29,In-Store,Australia
REV0107,CUST6296,Protein Powder,Nutrition,5,Best purchase I've made this year. Quality is outstanding.,2024-05-09,Website,Australia
REV0108,CUST1888,Protein Powder,Nutrition,2,Very disappointed. Product quality is terrible.,2024-07-30,Mobile App,India
REV0109,CUST4335,Smart Watch,Electronics,3,Okay product. Not sure if I'd buy again.,2024-01-27,In-Store,India
REV0110,CUST1472,Wireless Headphones,Electronics,2,Horrible product. Customer service was unhelpful too.,2024-03-03,Mobile App,UK
REV0111,CUST4681,Smart Watch,Electronics,3,Fine for occasional use but not for heavy duty.,2024-02-17,Website,Australia
REV0112,CUST9337,Running Shoes,Footwear,3,Decent product for the price. Could be better.,2024-05-29,In-Store,Australia
REV0113,CUST3369,Yoga Mat,Sports,2,Extremely poor quality. Nothing like shown in photos.,2024-10-09,Social Media,UK
REV0114,CUST7798,Protein Powder,Nutrition,4,"Amazing product, will definitely buy again. Highly recommend!",2024-05-21,In-Store,India
REV0115,CUST9022,Smart Watch,Electronics,2,Terrible experience. Product arrived damaged.,2024-10-27,Mobile App,Australia
REV0116,CUST6272,Protein Powder,Nutrition,5,Excellent value for money. Works perfectly as described.,2024-08-21,Mobile App,UK
REV0117,CUST8749,Protein Powder,Nutrition,4,Great product! Customer service was also very helpful.,2024-06-11,Social Media,Australia
REV0118,CUST6439,Wireless Headphones,Electronics,4,Absolutely love this product! Exceeded all my expectations.,2024-09-14,Website,Australia
REV0119,CUST7717,Running Shoes,Footwear,4,Five stars all the way. Incredible quality and comfort.,2024-03-14,Mobile App,USA
REV0120,CUST7512,Yoga Mat,Sports,3,Meets basic expectations. Packaging could be improved.,2024-11-15,Website,Canada
REV0121,CUST1588,Protein Powder,Nutrition,5,Excellent value for money. Works perfectly as described.,2024-10-04,Website,UK
REV0122,CUST2646,Smart Watch,Electronics,2,Waste of money. Broke after just two weeks of use.,2024-02-20,Social Media,UK
REV0123,CUST5806,Smart Watch,Electronics,2,Very disappointed. Product quality is terrible.,2024-01-29,In-Store,Canada
REV0124,CUST3950,Yoga Mat,Sports,5,Really impressed with the build quality and performance.,2024-10-16,Mobile App,UK
REV0125,CUST3344,Running Shoes,Footwear,3,"Works as described. Nothing more, nothing less.",2024-09-11,Mobile App,Australia
REV0126,CUST9955,Smart Watch,Electronics,5,Absolutely love this product! Exceeded all my expectations.,2024-05-27,Mobile App,USA
REV0127,CUST7951,Yoga Mat,Sports,2,Absolute garbage. Save your money and look elsewhere.,2024-11-23,In-Store,Australia
REV0128,CUST4886,Smart Watch,Electronics,5,Great product! Customer service was also very helpful.,2024-02-24,Social Media,India
REV0129,CUST7484,Smart Watch,Electronics,3,Meets basic expectations. Packaging could be improved.,2024-12-03,In-Store,USA
REV0130,CUST4770,Protein Powder,Nutrition,2,Very disappointed. Product quality is terrible.,2024-05-26,In-Store,UK
REV0131,CUST1645,Wireless Headphones,Electronics,3,Decent product for the price. Could be better.,2024-11-17,In-Store,Australia
REV0132,CUST6352,Running Shoes,Footwear,3,Decent product for the price. Could be better.,2024-05-31,Social Media,UK
REV0133,CUST9221,Wireless Headphones,Electronics,5,Really impressed with the build quality and performance.,2024-09-28,In-Store,UK
REV0134,CUST2886,Smart Watch,Electronics,2,Horrible product. Customer service was unhelpful too.,2024-06-22,Social Media,USA
REV0135,CUST6992,Wireless Headphones,Electronics,3,It's alright. Not the best I've used but not the worst either.,2024-10-12,Website,Australia
REV0136,CUST5295,Running Shoes,Footwear,5,Best purchase I've made this year. Quality is outstanding.,2024-07-07,Social Media,Canada
REV0137,CUST6374,Running Shoes,Footwear,3,Okay product. Not sure if I'd buy again.,2024-11-13,Mobile App,USA
REV0138,CUST3290,Yoga Mat,Sports,2,Terrible experience. Product arrived damaged.,2024-02-29,Website,USA
REV0139,CUST9807,Smart Watch,Electronics,1,Waste of money. Broke after just two weeks of use.,2024-04-30,Mobile App,Australia
REV0140,CUST3531,Yoga Mat,Sports,5,Really impressed with the build quality and performance.,2024-10-27,Social Media,USA
REV0141,CUST7070,Yoga Mat,Sports,3,Meets basic expectations. Packaging could be improved.,2024-12-19,Mobile App,Australia
REV0142,CUST7018,Yoga Mat,Sports,1,Completely useless. Returned immediately.,2024-12-17,In-Store,USA
REV0143,CUST4475,Yoga Mat,Sports,5,Best purchase I've made this year. Quality is outstanding.,2024-02-16,Website,USA
REV0144,CUST4394,Smart Watch,Electronics,4,"Amazing product, will definitely buy again. Highly recommend!",2024-02-05,Mobile App,UK
REV0145,CUST3370,Smart Watch,Electronics,3,Acceptable. Some minor issues but overall okay.,2024-05-21,Mobile App,India
REV0146,CUST1243,Smart Watch,Electronics,3,Average quality. Nothing special but works fine.,2024-03-08,In-Store,UK
REV0147,CUST3076,Protein Powder,Nutrition,5,"Amazing product, will definitely buy again. Highly recommend!",2024-01-27,Social Media,India
REV0148,CUST9408,Running Shoes,Footwear,3,Okay product. Not sure if I'd buy again.,2024-07-04,Website,Australia
REV0149,CUST9543,Protein Powder,Nutrition,4,Totally worth every penny. Love everything about it!,2024-12-03,In-Store,Australia
REV0150,CUST2768,Running Shoes,Footwear,5,Five stars all the way. Incredible quality and comfort.,2024-08-06,Social Media,Australia
REV0151,CUST3067,Running Shoes,Footwear,1,Completely useless. Returned immediately.,2024-02-03,In-Store,India
REV0152,CUST9692,Protein Powder,Nutrition,5,Excellent value for money. Works perfectly as described.,2024-11-01,In-Store,Australia
REV0153,CUST4522,Protein Powder,Nutrition,3,Average quality. Nothing special but works fine.,2024-12-01,Social Media,Australia
REV0154,CUST2557,Wireless Headphones,Electronics,5,Five stars all the way. Incredible quality and comfort.,2024-07-31,In-Store,Australia
REV0155,CUST8770,Smart Watch,Electronics,3,Standard quality. Delivery took longer than expected.,2024-12-17,Website,USA
REV0156,CUST1982,Running Shoes,Footwear,5,Best purchase I've made this year. Quality is outstanding.,2024-03-07,In-Store,USA
REV0157,CUST6119,Yoga Mat,Sports,4,Great product! Customer service was also very helpful.,2024-05-27,In-Store,USA
REV0158,CUST2773,Protein Powder,Nutrition,5,"Amazing product, will definitely buy again. Highly recommend!",2024-04-24,In-Store,India
REV0159,CUST1430,Smart Watch,Electronics,4,This product changed my daily routine for the better!,2024-08-07,In-Store,USA
REV0160,CUST1100,Wireless Headphones,Electronics,5,This product changed my daily routine for the better!,2024-06-28,Mobile App,UK
REV0161,CUST1502,Protein Powder,Nutrition,3,Average quality. Nothing special but works fine.,2024-11-20,Website,India
REV0162,CUST7062,Wireless Headphones,Electronics,5,Five stars all the way. Incredible quality and comfort.,2024-03-21,In-Store,Canada
REV0163,CUST1815,Protein Powder,Nutrition,3,Product is okay. Does what it's supposed to do.,2024-03-21,Website,Canada
REV0164,CUST5475,Yoga Mat,Sports,3,Okay product. Not sure if I'd buy again.,2024-07-31,Mobile App,India
REV0165,CUST8972,Running Shoes,Footwear,5,Best purchase I've made this year. Quality is outstanding.,2024-12-13,In-Store,USA
REV0166,CUST4349,Wireless Headphones,Electronics,4,Totally worth every penny. Love everything about it!,2024-01-04,In-Store,UK
